Counts
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
7.0
15.0
18.0
13.0
14.0
15.0
22.0
16.0
19.0
14.0
17.0
19.0
17.0
15.0
10.0
12.0
12.0
13.0
12.0
12.0
14.0
12.0
19.0
11.0
13.0
9.0
9.0
17.0
14.0
18.0
13.0
13.0
12.0
15.0
11.0
10.0
8.0
9.0
15.0
12.0
14.0
8.0
9.0
10.0
10.0
16.0
12.0
8.0
14.0
15.0
14.0
12.0
14.0
12.0
16.0
9.0
0.0
1.0
3.0
0.0
5.0
6.0
6.0
2.0
0.0
5.0
3.0
2.0
5.0
2.0
1.0
5.0
4.0
3.0
4.0
1.0
2.0
2.0
4.0
0.0
5.0
4.0
4.0
5.0
5.0
5.0
4.0
5.0
4.0
6.0
3.0
6.0
5.0
2.0
11.0
3.0
7.0
4.0
9.0
4.0
5.0
7.0
4.0
6.0
6.0
8.0
5.0
7.0
11.0
5.0
7.0
7.0
4.0
14.0
7.0
4.0
5.0
14.0
12.0
7.0
5.0
7.0
8.0
4.0
10.0
2.0
2.0
11.0
9.0
7.0
11.0
8.0
7.0
8.0
8.0
9.0
9.0
6.0
4.0
9.0
10.0
7.0
8.0
11.0
12.0
8.0
10.0
14.0
9.0
14.0
12.0
13.0
12.0
9.0
8.0
11.0
19.0
16.0
11.0
9.0
13.0
14.0
13.0
17.0
18.0
10.0
15.0
10.0
14.0
15.0
13.0
13.0
15.0
19.0
14.0
18.0
13.0
9.0
14.0
10.0
16.0
19.0
14.0
16.0
19.0
12.0
15.0
14.0
14.0
14.0
15.0
17.0
15.0
20.0
18.0
16.0
19.0
19.0
18.0
14.0
19.0
21.0
24.0
19.0
16.0
17.0
22.0
19.0
30.0
15.0
25.0
19.0
23.0
18.0
23.0
19.0
20.0
23.0
19.0
20.0
18.0
19.0
16.0
20.0
19.0
23.0
22.0
13.0
19.0
19.0
19.0
21.0
22.0
24.0
20.0
22.0
26.0
24.0
25.0
24.0
17.0
17.0
15.0
15.0
20.0
15.0
19.0
21.0
15.0
22.0
17.0
28.0
25.0
20.0
19.0
20.0
24.0
20.0
22.0
15.0
24.0
24.0
37.0
23.0
21.0
18.0
